"SYMBOL","UNDERLYING ASSET","OPEN","HIGH","LOW","PREV. CLOSE","LTP","INDICATIVE CLOSE","CHNG","%CHNG","VOLUME","VALUE (₹ Crores)","NAV","52W H","52W L","30D %CHNG","365 D","365 D % CHNG","30 D"
"BSLGOLDETF","Gold","84.96","85.00","83.15","83.98","84.83","-","0.85","1.01","3,12,194","2.64","83.60","85.00","56.57",7.72,"16-Apr-2024","28.91","18-Mar-2025"
"MIDSELIETF","S&P BSE Midcap Select Index","15.93","16.00","15.53","15.84","16.00","-","0.16","1.01","2,49,586","0.40","15.82","20.00","13.86",3.3,"16-Apr-2024","-89.33","18-Mar-2025"
"NIF5GETF","UTI Nifty 5 yr Benchmark G-Sec ETF","61.41","61.90","61.40","61.30","61.90","-","0.60","0.98","39","-","61.56","62.99","54.70",2.12,"16-Apr-2024","10.40","18-Mar-2025"
"ECAPINSURE","BSE Capital Markets & Insurance Total Return Index","19.69","20.25","19.55","19.59","19.78","-","0.19","0.97","29,547","0.06","19.65","24.35","17.13",8.47,"-","-","18-Mar-2025"
"MONIFTY500","Motilal Oswal Nifty 500 ETF","21.71","21.92","21.52","21.70","21.91","-","0.21","0.97","3,09,780","0.67","21.62","25.00","19.50",5.4,"16-Apr-2024","6.63","18-Mar-2025"
"INFRAIETF","ICICI Prudential Nifty Infrastructure ETF","86.57","88.50","86.35","86.96","87.80","-","0.84","0.97","1,22,851","1.08","86.81","100.10","77.65",7.31,"16-Apr-2024","3.57","18-Mar-2025"
"MOM30IETF","ICICI Prudential Nifty 200 Momentum 30 ETF","28.21","28.50","28.00","28.20","28.47","-","0.27","0.96","7,66,656","2.17","28.15","39.42","25.00",1.71,"16-Apr-2024","-10.08","18-Mar-2025"
"CONSUMER","NiftyﾠIndiaﾠNewﾠAgeﾠConsumption","10.89","10.89","10.62","10.68","10.78","-","0.10","0.94","93,446","0.10","10.68","13.97","9.00",5.16,"-","-","18-Mar-2025"
"SELECTIPO","BSE Select IPO Index","43.32","43.91","43.16","43.42","43.83","-","0.41","0.94","11,871","0.05","43.39","50.00","35.40","-","-","-","-"
"AXISVALUE","Nifty500 Value 50 TRI","26.85","27.03","26.54","26.75","27.00","-","0.25","0.93","10,559","0.03","26.73","28.07","24.00","-","-","-","-"
"GROWWEV","Nifty EV and New Age Automotive Index","26.10","26.41","25.85","26.07","26.31","-","0.24","0.92","2,82,802","0.74","25.99","36.06","23.00",-0.38,"-","-","18-Mar-2025"
"SBIETFCON","Nifty India Consumption Index","113.72","115.20","113.22","113.72","114.76","-","1.04","0.91","11,899","0.14","113.59","136.00","100.30",6.99,"16-Apr-2024","11.91","18-Mar-2025"
"GROWWRAIL","Nifty India Railways PSU Index","34.75","36.40","34.71","35.33","35.65","-","0.32","0.91","2,39,701","0.85","35.38","39.70","28.72",7.76,"-","-","18-Mar-2025"
"MAKEINDIA","Nifty India Manufacturing Total Return Index","131.86","132.35","128.30","130.86","132.02","-","1.16","0.89","23,458","0.31","130.84","161.10","119.50",1,"16-Apr-2024","4.32","18-Mar-2025"
"DIVOPPBEES","Nifty Dividend Opportunities 50 TRI","74.90","75.04","73.11","74.38","75.04","-","0.66","0.89","80,097","0.60","74.24","99.00","68.30",2.05,"16-Apr-2024","2.56","18-Mar-2025"
"GSEC5IETF","Nifty 5 yr Benchmark G-Sec Index","61.75","61.83","61.03","61.24","61.78","-","0.54","0.88","5,447","0.03","61.33","66.00","54.10",3.19,"16-Apr-2024","11.12","18-Mar-2025"
"NIFTY100EW","Nifty 100 Equal Weight Index","31.46","31.46","30.34","30.69","30.96","-","0.27","0.88","7,388","0.02","30.57","31.80","24.25","-","-","-","-"
